" Table - 1  Distribution of Age Groups of members with 5 year span ",
"Year-Space","No of Members"
"25-30 ",12
"31-35",21
"36-40",36
"41-45",58
"46-50",70
"51-55",87
"55-60",92
"61-65",83
"66-70",43
"71-75",28
"76-80",11
"81-85",1
"86-90",1
