Table - 11 First-time Women Members ( State-wise ),,,
,,,
State Name,No. of Members,No. of Total Seats,
,,,
Andhra Pradesh,2,25,
Assam,1,14,
Bihar,1,40,
Chandigarh,1,1,
Delhi,1,7,
Gujarat,2,26,
Karnataka,1,28,
Kerala,1,20,
Madhya Pradesh,2,29,
Maharashtra,3,48,
Odisha,2,21,
Rajasthan,1,25,
Tamil Nadu,4,39,
Telangana,1,17,
Uttar Pradesh,9,80,
West Bengal,8,42,
