,,,,,,,,"B-13 NON-WORKERS BY MAIN ACTIVITY, AGE AND SEX",,,,,,,,,,,,,,,,,,,,,
Table,State,Distt.,Area Name,Total/,Age-group,,,,Main activity,,,,,,,,,,,,,,,,,,,,
Name,Code,Code,,Rural/,,Non Workers,,,Students,,,Household duties,,,Dependents,,,Pensioners,,,Rentiers,,,"Beggars, Vagrants etc.",,,Others,,
,,,,Urban/,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females
1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1313,0,0,INDIA,Total,Total,728966109,291330383,437635726,305182701,164001659,141181042,165647019,5792995,159854024,202037887,94692455,107345432,13760174,7944219,5815955,700043,348020,352023,372217,197725,174492,41266068,18353310,22912758
B1313,0,0,INDIA,Rural,Total,485005760,200944045,284061715,207997668,112356441,95641227,96187463,4007216,92180247,147326584,69995157,77331427,7461759,3699527,3762232,221603,106888,114715,236850,118048,118802,25573833,10660768,14913065
B1313,0,0,INDIA,Urban,Total,243960349,90386338,153574011,97185033,51645218,45539815,69459556,1785779,67673777,54711303,24697298,30014005,6298415,4244692,2053723,478440,241132,237308,135367,79677,55690,15692235,7692542,7999693
B1313,1,0,State - JAMMU & KASHMIR (01),Total,Total,8218589,3445572,4773017,3515120,1899960,1615160,1645122,78581,1566541,2279760,1127049,1152711,127079,97913,29166,2908,1894,1014,3693,2235,1458,644907,237940,406967
B1313,1,0,State - JAMMU & KASHMIR (01),Rural,Total,5994979,2562471,3432508,2569993,1400557,1169436,1133625,60895,1072730,1794212,896557,897655,69537,52763,16774,1135,733,402,2874,1756,1118,423603,149210,274393
B1313,1,0,State - JAMMU & KASHMIR (01),Urban,Total,2223610,883101,1340509,945127,499403,445724,511497,17686,493811,485548,230492,255056,57542,45150,12392,1773,1161,612,819,479,340,221304,88730,132574
