,,,,,,,C -1 POPULATION BY RELIGIOUS COMMUNITY - 2011,,,,,,,,,,,,C -1 POPULATION BY RELIGIOUS COMMUNITY,,,,,,,,,,,,,,
Table,State,Distt.,Tehsil,Town,Area Name,Total/,,,, Religious communities,,,,,,,,,,,,,,,,,,,,,,,
Name,Code,Code,Code,Code,,Rural/,Total,,,Hindu,,,Muslim,,,Christian,,,Sikh,,,Buddhist,,,Jain,,,Other religions and persuasions (incl.Unclassified Sect.),,,Religion not stated,,
,,,,,,Urban,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females
,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0101,18,0,0,0,State - ASSAM ,Urban,4398542,2260454,2138088,3480888,1790743,1690145,802127,411052,391075,63152,31305,31847,12430,6794,5636,7261,3757,3504,23091,12023,11068,1575,802,773,8018,3978,4040
C0101,19,0,0,0,State - WEST BENGAL ,Total,91276115,46809027,44467088,64385546,33046557,31338989,24654825,12640092,12014733,658618,325986,332632,63523,34168,29355,282898,141388,141510,60141,30718,29423,942297,469865,472432,228267,120253,108014
C0101,19,0,0,0,State - WEST BENGAL ,Rural,62183113,31844945,30338168,41331600,21209432,20122168,19146627,9784832,9361795,490624,243900,246724,9600,5261,4339,184759,92502,92257,10963,5780,5183,918374,457713,460661,90566,45525,45041
C0101,19,0,0,0,State - WEST BENGAL ,Urban,29093002,14964082,14128920,23053946,11837125,11216821,5508198,2855260,2652938,167994,82086,85908,53923,28907,25016,98139,48886,49253,49178,24938,24240,23923,12152,11771,137701,74728,62973
C0101,24,0,0,0,State - GUJARAT ,Total,60439692,31491260,28948432,53533988,27941177,25592811,5846761,3007221,2839540,316178,159759,156419,58246,32069,26177,30483,16220,14263,579654,294911,284743,16480,8362,8118,57902,31541,26361
C0101,24,0,0,0,State - GUJARAT ,Rural,34694609,17799159,16895450,32390541,16623861,15766680,2049186,1044496,1004690,162368,81319,81049,11292,7088,4204,6182,3292,2890,44118,22357,21761,5518,2787,2731,25404,13959,11445
C0101,24,0,0,0,State - GUJARAT ,Urban,25745083,13692101,12052982,21143447,11317316,9826131,3797575,1962725,1834850,153810,78440,75370,46954,24981,21973,24301,12928,11373,535536,272554,262982,10962,5575,5387,32498,17582,14916
C0101,27,0,0,0,State - MAHARASHTRA ,Total,112374333,58243056,54131277,89703057,46535862,43167195,12971152,6789127,6182025,1080073,531916,548157,223247,118058,105189,6531200,3314906,3216294,1400349,713157,687192,178965,89823,89142,286290,150207,136083
C0101,27,0,0,0,State - MAHARASHTRA ,Rural,61556074,31539034,30017040,53986028,27674324,26311704,3496807,1785117,1711690,114972,58022,56950,26450,13987,12463,3412078,1737963,1674115,269959,140476,129483,93647,47080,46567,156133,82065,74068
C0101,27,0,0,0,State - MAHARASHTRA ,Urban,50818259,26704022,24114237,35717029,18861538,16855491,9474345,5004010,4470335,965101,473894,491207,196797,104071,92726,3119122,1576943,1542179,1130390,572681,557709,85318,42743,42575,130157,68142,62015
C0101,28,0,0,0,State - ANDHRA PRADESH ,Total,84580777,42442146,42138631,74824149,37537084,37287065,8082412,4085913,3996499,1129784,548753,581031,40244,21534,18710,36692,18812,17880,53849,27473,26376,9547,4815,4732,404100,197762,206338
C0101,28,0,0,0,State - ANDHRA PRADESH ,Rural,56361702,28243241,28118461,52793521,26461972,26331549,2839300,1424322,1414978,502264,244039,258225,7915,4329,3586,23554,11976,11578,5164,2564,2600,3710,1836,1874,186274,92203,94071
C0101,28,0,0,0,State - ANDHRA PRADESH ,Urban,28219075,14198905,14020170,22030628,11075112,10955516,5243112,2661591,2581521,627520,304714,322806,32329,17205,15124,13138,6836,6302,48685,24909,23776,5837,2979,2858,217826,105559,112267
