,,,,,C-8 APPENDIX -2011  EDUCATIONAL LEVEL GRADUATE AND ABOVE BY SEX FOR POPULATION AGE 15 AND ABOVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table,State,Distt.,Area Name,Total/,Age-group,Total population,,,          Educational level,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Code,Code,,Rural/,,,,, Graduate and above,,,Graduate degree other than,,,Post graduate degree other than,,,Technical degree or diploma equal to degree or post graduate degree,,,,,,,,,,,,,,,,,
,,,,Urban/,,,,,,,,         technical degree,,,         technical degree,,, Engineering and technology,,,Medicine,,,  Agriculture and dairying,,,Veterinary,,,Teaching,,,Others,,
,,,,,,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females
,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2408A,18,0,State - ASSAM,Rural,Total,17615761,8991995,8623766,507240,340774,166466,427984,288287,139697,53161,33600,19561,14945,11106,3839,4803,3771,1032,602,517,85,539,449,90,5159,3008,2151,47,36,11
C2408A,18,0,State - ASSAM,Urban,Total,3340916,1716799,1624117,504105,298467,205638,380564,225981,154583,70574,35147,35427,34559,26298,8261,10802,7519,3283,1199,987,212,1033,793,240,5286,1671,3615,88,71,17
C2408A,19,0,State - WEST BENGAL,Total,Total,66538640,34170896,32367744,4827817,3088673,1739144,3728054,2413133,1314921,731986,408291,323695,260473,196751,63722,53786,41228,12558,2353,2136,217,1663,1402,261,49024,25392,23632,478,340,138
C2408A,19,0,State - WEST BENGAL,Rural,Total,44024433,22588395,21436038,1402776,1042854,359922,1107040,828699,278341,226438,156731,69707,41623,35304,6319,8570,7342,1228,761,721,40,348,316,32,17895,13674,4221,101,67,34
C2408A,19,0,State - WEST BENGAL,Urban,Total,22514207,11582501,10931706,3425041,2045819,1379222,2621014,1584434,1036580,505548,251560,253988,218850,161447,57403,45216,33886,11330,1592,1415,177,1315,1086,229,31129,11718,19411,377,273,104
C2408A,24,0,State - GUJARAT,Total,Total,42994079,22209135,20784944,3174158,1891932,1282226,1997285,1161919,835366,570611,302581,268030,322179,258684,63495,102403,64832,37571,9339,8836,503,2533,2413,120,165189,91019,74170,4619,1648,2971
C2408A,24,0,State - GUJARAT,Rural,Total,23897200,12138866,11758334,670430,452150,218280,397217,268859,128358,135146,83122,52024,40831,34857,5974,17773,11677,6096,2924,2776,148,860,837,23,74931,49754,25177,748,268,480
C2408A,24,0,State - GUJARAT,Urban,Total,19096879,10070269,9026610,2503728,1439782,1063946,1600068,893060,707008,435465,219459,216006,281348,223827,57521,84630,53155,31475,6415,6060,355,1673,1576,97,90258,41265,48993,3871,1380,2491
C2408A,27,0,State - MAHARASHTRA,Total,Total,82457118,42462989,39994129,8639081,5167671,3471410,5098823,2978341,2120482,1584683,917863,666820,968123,703552,264571,279119,166724,112395,45604,40031,5573,5790,5054,736,655581,355253,300328,1358,853,505
C2408A,27,0,State - MAHARASHTRA,Rural,Total,44231595,22410640,21820955,2007858,1440447,567411,1147178,820265,326913,350020,250982,99038,124750,97243,27507,52188,37900,14288,20342,17957,2385,1666,1537,129,311530,214419,97111,184,144,40
C2408A,27,0,State - MAHARASHTRA,Urban,Total,38225523,20052349,18173174,6631223,3727224,2903999,3951645,2158076,1793569,1234663,666881,567782,843373,606309,237064,226931,128824,98107,25262,22074,3188,4124,3517,607,344051,140834,203217,1174,709,465
C2408A,28,0,State - ANDHRA PRADESH,Total,Total,62789985,31236977,31553008,5577387,3632622,1944765,3058818,1969224,1089594,1016857,662569,354288,1027501,730211,297290,163521,94882,68639,11504,9378,2126,5091,4184,907,289761,160264,129497,4334,1910,2424
C2408A,28,0,State - ANDHRA PRADESH,Total,Age Not stated,771431,387686,383745,66591,39803,26788,35636,20625,15011,11599,6969,4630,14514,9673,4841,2272,1232,1040,80,63,17,46,39,7,2394,1181,1213,50,21,29
C2408A,28,0,State - ANDHRA PRADESH,Urban,Total,21182712,10578294,10604418,3655662,2250168,1405494,1947136,1172453,774683,711301,436046,275255,720087,495918,224169,125603,72110,53493,7997,6505,1492,3363,2764,599,138437,63575,74862,1738,797,941
